#: table_doi: 10.17182/hepdata.85369.v1/t1
#: name: Table 1
#: description: Photon-jet pT balance distributions (1/Ng)(dN/dxJg) in pp events (blue, reproduced on all panels) and Pb+Pb events (red) with each panel denoting a different centrality selection. These panels show results with pTg = 63.1-79.6 GeV. Total systematic uncertainties are shown as boxes, while statistical uncertainties are shown with vertical bars.
#: data_file: data1.yaml
#: keyword reactions: PB PB --> Jet gamma
#: keyword observables: (1/Ng)(dN/dxJg)
#: keyword cmenergies: 5020.0
#: keyword phrases: Photon-jet pT balance
#: RE,,,Photon-jet pT balance in pp
#: SQRT(S) [GeV],,,5020.0
#: pT(gamma),,,63.1 - 79.6 GeV
#: Centrality,,,pp
Photon-jet pT balance xJg,Photon-jet pT balance xJg LOW,Photon-jet pT balance xJg HIGH,(1/Ng)(dN/dxJg) in pp,stat +,stat -,sys +,sys -
0.531765,0.50119,0.56234,0.78551,0.01709,-0.01709,0.07484,-0.07484
0.5966499999999999,0.56234,0.63096,0.77922,0.01646,-0.01646,0.04011,-0.04011
0.6694549999999999,0.63096,0.70795,0.81438,0.01599,-0.01599,0.03918,-0.03918
0.7511399999999999,0.70795,0.79433,0.93894,0.01668,-0.01668,0.04675,-0.04675
0.8427899999999999,0.79433,0.89125,1.13434,0.01839,-0.01839,0.03864,-0.03864
0.9456249999999999,0.89125,1.0,1.25284,0.02017,-0.02017,0.07763,-0.07763
1.06101,1.0,1.12202,0.7194,0.01405,-0.01405,0.11146,-0.11146
1.1904750000000002,1.12202,1.25893,0.28967,0.00778,-0.00778,0.06868,-0.06868
1.3357350000000001,1.25893,1.41254,0.13959,0.0052,-0.0052,0.02436,-0.02436
1.4987149999999998,1.41254,1.58489,0.0717,0.0036,-0.0036,0.01565,-0.01565
1.681585,1.58489,1.77828,0.03675,0.00251,-0.00251,0.00812,-0.00812
1.88677,1.77828,1.99526,0.01637,0.00154,-0.00154,0.00416,-0.00416

#: RE,,,Photon-jet pT balance in 50-80%
#: SQRT(S) [GeV],,,5020.0
#: pT(gamma),,,63.1 - 79.6 GeV
#: Centrality,,,50-80%
Photon-jet pT balance xJg,Photon-jet pT balance xJg LOW,Photon-jet pT balance xJg HIGH,(1/Ng)(dN/dxJg) in 50-80%,stat +,stat -,sys +,sys -
0.531765,0.50119,0.56234,0.95903,0.1208,-0.1208,0.14145,-0.14145
0.5966499999999999,0.56234,0.63096,0.85248,0.10331,-0.10331,0.10498,-0.10498
0.6694549999999999,0.63096,0.70795,0.77801,0.09982,-0.09982,0.09084,-0.09084
0.7511399999999999,0.70795,0.79433,0.88608,0.10642,-0.10642,0.10546,-0.10546
0.8427899999999999,0.79433,0.89125,1.0214,0.11022,-0.11022,0.03137,-0.03137
0.9456249999999999,0.89125,1.0,0.8969,0.10943,-0.10943,0.13264,-0.13264
1.06101,1.0,1.12202,0.48576,0.0751,-0.0751,0.09458,-0.09458
1.1904750000000002,1.12202,1.25893,0.28915,0.053,-0.053,0.03331,-0.03331
1.3357350000000001,1.25893,1.41254,0.19887,0.04256,-0.04256,0.03491,-0.03491
1.4987149999999998,1.41254,1.58489,0.11267,0.03245,-0.03245,0.02007,-0.02007
1.681585,1.58489,1.77828,0.04534,0.01827,-0.01827,0.01087,-0.01087
1.88677,1.77828,1.99526,0.01397,0.00694,-0.00694,0.00653,-0.00653

#: RE,,,Photon-jet pT balance in 30-50%
#: SQRT(S) [GeV],,,5020.0
#: pT(gamma),,,63.1 - 79.6 GeV
#: Centrality,,,30-50%
Photon-jet pT balance xJg,Photon-jet pT balance xJg LOW,Photon-jet pT balance xJg HIGH,(1/Ng)(dN/dxJg) in 30-50%,stat +,stat -,sys +,sys -
0.531765,0.50119,0.56234,0.95207,0.06172,-0.06172,0.11805,-0.11805
0.5966499999999999,0.56234,0.63096,0.87575,0.05004,-0.05004,0.11019,-0.11019
0.6694549999999999,0.63096,0.70795,0.83455,0.04471,-0.04471,0.0831,-0.0831
0.7511399999999999,0.70795,0.79433,0.8496,0.04469,-0.04469,0.0649,-0.0649
0.8427899999999999,0.79433,0.89125,0.86952,0.04845,-0.04845,0.07016,-0.07016
0.9456249999999999,0.89125,1.0,0.81896,0.05137,-0.05137,0.0945,-0.0945
1.06101,1.0,1.12202,0.4607,0.03597,-0.03597,0.07481,-0.07481
1.1904750000000002,1.12202,1.25893,0.20298,0.02059,-0.02059,0.0377,-0.0377
1.3357350000000001,1.25893,1.41254,0.10226,0.01411,-0.01411,0.02515,-0.02515
1.4987149999999998,1.41254,1.58489,0.05166,0.01031,-0.01031,0.01123,-0.01123
1.681585,1.58489,1.77828,0.02809,0.00735,-0.00735,0.00442,-0.00442
1.88677,1.77828,1.99526,0.01937,0.00532,-0.00532,0.00369,-0.00369

#: RE,,,Photon-jet pT balance in 20-30%
#: SQRT(S) [GeV],,,5020.0
#: pT(gamma),,,63.1 - 79.6 GeV
#: Centrality,,,20-30%
Photon-jet pT balance xJg,Photon-jet pT balance xJg LOW,Photon-jet pT balance xJg HIGH,(1/Ng)(dN/dxJg) in 20-30%,stat +,stat -,sys +,sys -
0.531765,0.50119,0.56234,1.00627,0.06301,-0.06301,0.13052,-0.13052
0.5966499999999999,0.56234,0.63096,0.89342,0.0481,-0.0481,0.08526,-0.08526
0.6694549999999999,0.63096,0.70795,0.82577,0.03961,-0.03961,0.07788,-0.07788
0.7511399999999999,0.70795,0.79433,0.81659,0.03867,-0.03867,0.08692,-0.08692
0.8427899999999999,0.79433,0.89125,0.81842,0.03991,-0.03991,0.06478,-0.06478
0.9456249999999999,0.89125,1.0,0.74472,0.04064,-0.04064,0.10956,-0.10956
1.06101,1.0,1.12202,0.42462,0.02876,-0.02876,0.07136,-0.07136
1.1904750000000002,1.12202,1.25893,0.20091,0.01742,-0.01742,0.04524,-0.04524
1.3357350000000001,1.25893,1.41254,0.11056,0.01274,-0.01274,0.02137,-0.02137
1.4987149999999998,1.41254,1.58489,0.06344,0.00963,-0.00963,0.01214,-0.01214
1.681585,1.58489,1.77828,0.03521,0.00693,-0.00693,0.00624,-0.00624
1.88677,1.77828,1.99526,0.02054,0.00516,-0.00516,0.00256,-0.00256

#: RE,,,Photon-jet pT balance in 10-20%
#: SQRT(S) [GeV],,,5020.0
#: pT(gamma),,,63.1 - 79.6 GeV
#: Centrality,,,10-20%
Photon-jet pT balance xJg,Photon-jet pT balance xJg LOW,Photon-jet pT balance xJg HIGH,(1/Ng)(dN/dxJg) in 10-20%,stat +,stat -,sys +,sys -
0.531765,0.50119,0.56234,1.00532,0.07852,-0.07852,0.19818,-0.19818
0.5966499999999999,0.56234,0.63096,0.88816,0.0571,-0.0571,0.08286,-0.08286
0.6694549999999999,0.63096,0.70795,0.7916,0.04368,-0.04368,0.08746,-0.08746
0.7511399999999999,0.70795,0.79433,0.73981,0.03993,-0.03993,0.07876,-0.07876
0.8427899999999999,0.79433,0.89125,0.74594,0.04303,-0.04303,0.08211,-0.08211
0.9456249999999999,0.89125,1.0,0.69097,0.04442,-0.04442,0.07896,-0.07896
1.06101,1.0,1.12202,0.38637,0.03131,-0.03131,0.07672,-0.07672
1.1904750000000002,1.12202,1.25893,0.17537,0.01878,-0.01878,0.04571,-0.04571
1.3357350000000001,1.25893,1.41254,0.09299,0.01425,-0.01425,0.02318,-0.02318
1.4987149999999998,1.41254,1.58489,0.05197,0.01107,-0.01107,0.01413,-0.01413
1.681585,1.58489,1.77828,0.03127,0.00841,-0.00841,0.00762,-0.00762
1.88677,1.77828,1.99526,0.01908,0.00598,-0.00598,0.00336,-0.00336

#: RE,,,Photon-jet pT balance in 0-10%
#: SQRT(S) [GeV],,,5020.0
#: pT(gamma),,,63.1 - 79.6 GeV
#: Centrality,,,0-10%
Photon-jet pT balance xJg,Photon-jet pT balance xJg LOW,Photon-jet pT balance xJg HIGH,(1/Ng)(dN/dxJg) in 0-10%,stat +,stat -,sys +,sys -
0.531765,0.50119,0.56234,1.19274,0.07609,-0.07609,0.15419,-0.15419
0.5966499999999999,0.56234,0.63096,0.98879,0.05102,-0.05102,0.12893,-0.12893
0.6694549999999999,0.63096,0.70795,0.83497,0.03672,-0.03672,0.12519,-0.12519
0.7511399999999999,0.70795,0.79433,0.73725,0.03182,-0.03182,0.09884,-0.09884
0.8427899999999999,0.79433,0.89125,0.69665,0.03236,-0.03236,0.08574,-0.08574
0.9456249999999999,0.89125,1.0,0.61455,0.03247,-0.03247,0.09103,-0.09103
1.06101,1.0,1.12202,0.33048,0.0214,-0.0214,0.06602,-0.06602
1.1904750000000002,1.12202,1.25893,0.14538,0.01217,-0.01217,0.03356,-0.03356
1.3357350000000001,1.25893,1.41254,0.08078,0.00899,-0.00899,0.01603,-0.01603
1.4987149999999998,1.41254,1.58489,0.04992,0.00747,-0.00747,0.01131,-0.01131
1.681585,1.58489,1.77828,0.02804,0.00601,-0.00601,0.0073,-0.0073
1.88677,1.77828,1.99526,0.01137,0.00346,-0.00346,0.00295,-0.00295

