globalBinMapping_truthReco.txt
Dataset: SIM
rKey: r02 (R=0.2)

NOTE: global bin indices are the TH2 internal indices returned by TH2::GetBin/FindBin.
      We list ALL bins including ROOT underflow/overflow (bin=0 and bin=nbins+1).

[TRUTH] gTruth = hTruth->GetBin(ptBin, xJBin)
Columns: gTruth  ptBin  xJBin  pT_range  xJ_range
   0   0   0  UNDERFLOW  UNDERFLOW
  14   0   1  UNDERFLOW  0.00-0.20
  28   0   2  UNDERFLOW  0.20-0.24
  42   0   3  UNDERFLOW  0.24-0.29
  56   0   4  UNDERFLOW  0.29-0.35
  70   0   5  UNDERFLOW  0.35-0.41
  84   0   6  UNDERFLOW  0.41-0.50
  98   0   7  UNDERFLOW  0.50-0.60
 112   0   8  UNDERFLOW  0.60-0.72
 126   0   9  UNDERFLOW  0.72-0.86
 140   0  10  UNDERFLOW  0.86-1.03
 154   0  11  UNDERFLOW  1.03-1.24
 168   0  12  UNDERFLOW  1.24-1.49
 182   0  13  UNDERFLOW  1.49-1.78
 196   0  14  UNDERFLOW  1.78-2.14
 210   0  15  UNDERFLOW  2.14-3.00
 224   0  16  UNDERFLOW  OVERFLOW
   1   1   0  5-8 GeV  UNDERFLOW
  15   1   1  5-8 GeV  0.00-0.20
  29   1   2  5-8 GeV  0.20-0.24
  43   1   3  5-8 GeV  0.24-0.29
  57   1   4  5-8 GeV  0.29-0.35
  71   1   5  5-8 GeV  0.35-0.41
  85   1   6  5-8 GeV  0.41-0.50
  99   1   7  5-8 GeV  0.50-0.60
 113   1   8  5-8 GeV  0.60-0.72
 127   1   9  5-8 GeV  0.72-0.86
 141   1  10  5-8 GeV  0.86-1.03
 155   1  11  5-8 GeV  1.03-1.24
 169   1  12  5-8 GeV  1.24-1.49
 183   1  13  5-8 GeV  1.49-1.78
 197   1  14  5-8 GeV  1.78-2.14
 211   1  15  5-8 GeV  2.14-3.00
 225   1  16  5-8 GeV  OVERFLOW
   2   2   0  8-10 GeV  UNDERFLOW
  16   2   1  8-10 GeV  0.00-0.20
  30   2   2  8-10 GeV  0.20-0.24
  44   2   3  8-10 GeV  0.24-0.29
  58   2   4  8-10 GeV  0.29-0.35
  72   2   5  8-10 GeV  0.35-0.41
  86   2   6  8-10 GeV  0.41-0.50
 100   2   7  8-10 GeV  0.50-0.60
 114   2   8  8-10 GeV  0.60-0.72
 128   2   9  8-10 GeV  0.72-0.86
 142   2  10  8-10 GeV  0.86-1.03
 156   2  11  8-10 GeV  1.03-1.24
 170   2  12  8-10 GeV  1.24-1.49
 184   2  13  8-10 GeV  1.49-1.78
 198   2  14  8-10 GeV  1.78-2.14
 212   2  15  8-10 GeV  2.14-3.00
 226   2  16  8-10 GeV  OVERFLOW
   3   3   0  10-12 GeV  UNDERFLOW
  17   3   1  10-12 GeV  0.00-0.20
  31   3   2  10-12 GeV  0.20-0.24
  45   3   3  10-12 GeV  0.24-0.29
  59   3   4  10-12 GeV  0.29-0.35
  73   3   5  10-12 GeV  0.35-0.41
  87   3   6  10-12 GeV  0.41-0.50
 101   3   7  10-12 GeV  0.50-0.60
 115   3   8  10-12 GeV  0.60-0.72
 129   3   9  10-12 GeV  0.72-0.86
 143   3  10  10-12 GeV  0.86-1.03
 157   3  11  10-12 GeV  1.03-1.24
 171   3  12  10-12 GeV  1.24-1.49
 185   3  13  10-12 GeV  1.49-1.78
 199   3  14  10-12 GeV  1.78-2.14
 213   3  15  10-12 GeV  2.14-3.00
 227   3  16  10-12 GeV  OVERFLOW
   4   4   0  12-14 GeV  UNDERFLOW
  18   4   1  12-14 GeV  0.00-0.20
  32   4   2  12-14 GeV  0.20-0.24
  46   4   3  12-14 GeV  0.24-0.29
  60   4   4  12-14 GeV  0.29-0.35
  74   4   5  12-14 GeV  0.35-0.41
  88   4   6  12-14 GeV  0.41-0.50
 102   4   7  12-14 GeV  0.50-0.60
 116   4   8  12-14 GeV  0.60-0.72
 130   4   9  12-14 GeV  0.72-0.86
 144   4  10  12-14 GeV  0.86-1.03
 158   4  11  12-14 GeV  1.03-1.24
 172   4  12  12-14 GeV  1.24-1.49
 186   4  13  12-14 GeV  1.49-1.78
 200   4  14  12-14 GeV  1.78-2.14
 214   4  15  12-14 GeV  2.14-3.00
 228   4  16  12-14 GeV  OVERFLOW
   5   5   0  14-16 GeV  UNDERFLOW
  19   5   1  14-16 GeV  0.00-0.20
  33   5   2  14-16 GeV  0.20-0.24
  47   5   3  14-16 GeV  0.24-0.29
  61   5   4  14-16 GeV  0.29-0.35
  75   5   5  14-16 GeV  0.35-0.41
  89   5   6  14-16 GeV  0.41-0.50
 103   5   7  14-16 GeV  0.50-0.60
 117   5   8  14-16 GeV  0.60-0.72
 131   5   9  14-16 GeV  0.72-0.86
 145   5  10  14-16 GeV  0.86-1.03
 159   5  11  14-16 GeV  1.03-1.24
 173   5  12  14-16 GeV  1.24-1.49
 187   5  13  14-16 GeV  1.49-1.78
 201   5  14  14-16 GeV  1.78-2.14
 215   5  15  14-16 GeV  2.14-3.00
 229   5  16  14-16 GeV  OVERFLOW
   6   6   0  16-18 GeV  UNDERFLOW
  20   6   1  16-18 GeV  0.00-0.20
  34   6   2  16-18 GeV  0.20-0.24
  48   6   3  16-18 GeV  0.24-0.29
  62   6   4  16-18 GeV  0.29-0.35
  76   6   5  16-18 GeV  0.35-0.41
  90   6   6  16-18 GeV  0.41-0.50
 104   6   7  16-18 GeV  0.50-0.60
 118   6   8  16-18 GeV  0.60-0.72
 132   6   9  16-18 GeV  0.72-0.86
 146   6  10  16-18 GeV  0.86-1.03
 160   6  11  16-18 GeV  1.03-1.24
 174   6  12  16-18 GeV  1.24-1.49
 188   6  13  16-18 GeV  1.49-1.78
 202   6  14  16-18 GeV  1.78-2.14
 216   6  15  16-18 GeV  2.14-3.00
 230   6  16  16-18 GeV  OVERFLOW
   7   7   0  18-20 GeV  UNDERFLOW
  21   7   1  18-20 GeV  0.00-0.20
  35   7   2  18-20 GeV  0.20-0.24
  49   7   3  18-20 GeV  0.24-0.29
  63   7   4  18-20 GeV  0.29-0.35
  77   7   5  18-20 GeV  0.35-0.41
  91   7   6  18-20 GeV  0.41-0.50
 105   7   7  18-20 GeV  0.50-0.60
 119   7   8  18-20 GeV  0.60-0.72
 133   7   9  18-20 GeV  0.72-0.86
 147   7  10  18-20 GeV  0.86-1.03
 161   7  11  18-20 GeV  1.03-1.24
 175   7  12  18-20 GeV  1.24-1.49
 189   7  13  18-20 GeV  1.49-1.78
 203   7  14  18-20 GeV  1.78-2.14
 217   7  15  18-20 GeV  2.14-3.00
 231   7  16  18-20 GeV  OVERFLOW
   8   8   0  20-22 GeV  UNDERFLOW
  22   8   1  20-22 GeV  0.00-0.20
  36   8   2  20-22 GeV  0.20-0.24
  50   8   3  20-22 GeV  0.24-0.29
  64   8   4  20-22 GeV  0.29-0.35
  78   8   5  20-22 GeV  0.35-0.41
  92   8   6  20-22 GeV  0.41-0.50
 106   8   7  20-22 GeV  0.50-0.60
 120   8   8  20-22 GeV  0.60-0.72
 134   8   9  20-22 GeV  0.72-0.86
 148   8  10  20-22 GeV  0.86-1.03
 162   8  11  20-22 GeV  1.03-1.24
 176   8  12  20-22 GeV  1.24-1.49
 190   8  13  20-22 GeV  1.49-1.78
 204   8  14  20-22 GeV  1.78-2.14
 218   8  15  20-22 GeV  2.14-3.00
 232   8  16  20-22 GeV  OVERFLOW
   9   9   0  22-24 GeV  UNDERFLOW
  23   9   1  22-24 GeV  0.00-0.20
  37   9   2  22-24 GeV  0.20-0.24
  51   9   3  22-24 GeV  0.24-0.29
  65   9   4  22-24 GeV  0.29-0.35
  79   9   5  22-24 GeV  0.35-0.41
  93   9   6  22-24 GeV  0.41-0.50
 107   9   7  22-24 GeV  0.50-0.60
 121   9   8  22-24 GeV  0.60-0.72
 135   9   9  22-24 GeV  0.72-0.86
 149   9  10  22-24 GeV  0.86-1.03
 163   9  11  22-24 GeV  1.03-1.24
 177   9  12  22-24 GeV  1.24-1.49
 191   9  13  22-24 GeV  1.49-1.78
 205   9  14  22-24 GeV  1.78-2.14
 219   9  15  22-24 GeV  2.14-3.00
 233   9  16  22-24 GeV  OVERFLOW
  10  10   0  24-26 GeV  UNDERFLOW
  24  10   1  24-26 GeV  0.00-0.20
  38  10   2  24-26 GeV  0.20-0.24
  52  10   3  24-26 GeV  0.24-0.29
  66  10   4  24-26 GeV  0.29-0.35
  80  10   5  24-26 GeV  0.35-0.41
  94  10   6  24-26 GeV  0.41-0.50
 108  10   7  24-26 GeV  0.50-0.60
 122  10   8  24-26 GeV  0.60-0.72
 136  10   9  24-26 GeV  0.72-0.86
 150  10  10  24-26 GeV  0.86-1.03
 164  10  11  24-26 GeV  1.03-1.24
 178  10  12  24-26 GeV  1.24-1.49
 192  10  13  24-26 GeV  1.49-1.78
 206  10  14  24-26 GeV  1.78-2.14
 220  10  15  24-26 GeV  2.14-3.00
 234  10  16  24-26 GeV  OVERFLOW
  11  11   0  26-35 GeV  UNDERFLOW
  25  11   1  26-35 GeV  0.00-0.20
  39  11   2  26-35 GeV  0.20-0.24
  53  11   3  26-35 GeV  0.24-0.29
  67  11   4  26-35 GeV  0.29-0.35
  81  11   5  26-35 GeV  0.35-0.41
  95  11   6  26-35 GeV  0.41-0.50
 109  11   7  26-35 GeV  0.50-0.60
 123  11   8  26-35 GeV  0.60-0.72
 137  11   9  26-35 GeV  0.72-0.86
 151  11  10  26-35 GeV  0.86-1.03
 165  11  11  26-35 GeV  1.03-1.24
 179  11  12  26-35 GeV  1.24-1.49
 193  11  13  26-35 GeV  1.49-1.78
 207  11  14  26-35 GeV  1.78-2.14
 221  11  15  26-35 GeV  2.14-3.00
 235  11  16  26-35 GeV  OVERFLOW
  12  12   0  35-40 GeV  UNDERFLOW
  26  12   1  35-40 GeV  0.00-0.20
  40  12   2  35-40 GeV  0.20-0.24
  54  12   3  35-40 GeV  0.24-0.29
  68  12   4  35-40 GeV  0.29-0.35
  82  12   5  35-40 GeV  0.35-0.41
  96  12   6  35-40 GeV  0.41-0.50
 110  12   7  35-40 GeV  0.50-0.60
 124  12   8  35-40 GeV  0.60-0.72
 138  12   9  35-40 GeV  0.72-0.86
 152  12  10  35-40 GeV  0.86-1.03
